TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,2024-01-06,1008,102,404,0,39.1,0,giftcard
551,2024-01-06,1009,105,403,0,19.78,0,giftcard
552,2024-01-16,1004,107,404,0,335.1,15,credit
553,2024-01-16,1006,102,406,0,195.5,10,debit
554,2024-01-25,1005,102,405,0,117.3,10,giftcard
556,2024-01-29,1009,104,403,0,172.4,10,credit
558,2024-02-06,1002,102,402,0,312.8,15,credit
559,2024-02-06,1001,106,401,0,622.86,15,debit
561,2024-02-06,1005,107,405,0,469.14,15,paypal
562,2024-02-08,1003,108,403,0,12.56,0,cash
563,2024-02-08,1006,107,406,0,67.02,0,cash
564,2024-02-09,1009,107,403,0,469.14,15,credit
565,2024-02-09,1002,105,402,0,138.46,10,debit
566,2024-02-24,1007,103,405,0,204.84,15,debit
567,2024-02-24,1007,106,405,0,444.9,15,debit
568,2024-02-24,1011,107,401,0,603.18,15,credit
570,2024-02-27,1010,107,402,0,402.12,15,giftcard
571,2024-02-27,1011,106,401,0,533.88,15,paypal
572,2024-03-20,1005,105,405,0,178.02,10,debit
